id,lastpage,randnumber,v1f1,v1f2,v2f1,v2f2,v3f1,v3f2,v4f1,v4f2,v5f1,v5f2,v6f1,v6f2,v7f1,v7f2,v8f1,v8f2,konsq001,konsq002,konsq003,gender_1,gender_2,gender_3,age,edu1,edu2,edu3,edu4,edu5,edu6,edu7
67,24,3,,,,,N,AO01,,,,,,,,,,,,,Y,Y,,,60,,Y,,,,,
68,24,7,,,,,,,,,,,,,N,AO01,,,,,Y,,,Y,37,,Y,,,,,
69,24,7,,,,,,,,,,,,,N,AO01,,,,,Y,Y,,,43,,Y,,,,,
70,24,5,,,,,,,,,Y,AO07,,,,,,,,,Y,,,Y,40,,,Y,,,,
71,24,7,,,,,,,,,,,,,N,AO01,,,,,Y,,,Y,55,,,,Y,,,
72,24,7,,,,,,,,,,,,,N,AO03,,,,,Y,Y,,,24,,,,Y,,,
73,24,6,,,,,,,,,,,Y,AO07,,,,,,,Y,,,Y,61,,,Y,,,,
74,24,8,,,,,,,,,,,,,,,Y,AO05,,,Y,,,Y,57,,Y,,,,,
75,21,5,,,,,,,,,Y,AO05,,,,,,,Y,,,,,,,,,,,,,
76,24,7,,,,,,,,,,,,,N,AO05,,,,,Y,Y,,,65,,,,Y,,,
77,24,4,,,,,,,N,AO02,,,,,,,,,,,Y,Y,,,66,,Y,,,,,
78,24,8,,,,,,,,,,,,,,,N,AO02,,,Y,,,Y,42,,,,Y,,,
79,24,4,,,,,,,N,AO01,,,,,,,,,,,Y,Y,,,51,,,Y,,,,
80,24,8,,,,,,,,,,,,,,,N,AO08,,,Y,Y,,,30,,,Y,,,,
81,24,3,,,,,N,AO03,,,,,,,,,,,,,Y,Y,,,51,,Y,,,,,
82,24,8,,,,,,,,,,,,,,,Y,AO07,,,Y,,,Y,36,,,,,,,Y
83,24,7,,,,,,,,,,,,,Y,AO06,,,,,Y,,,Y,46,,Y,,,,,
84,24,7,,,,,,,,,,,,,N,AO05,,,,,Y,Y,,,46,,Y,,,,,
85,24,2,,,N,AO02,,,,,,,,,,,,,,,Y,,,Y,41,,,,Y,,,
86,24,2,,,N,AO02,,,,,,,,,,,,,,,Y,,,Y,56,,,Y,,,,
87,24,8,,,,,,,,,,,,,,,N,AO01,,,Y,,,Y,51,,,,Y,,,
88,21,2,,,N,AO06,,,,,,,,,,,,,Y,,,,,,,,,,,,,
89,21,8,,,,,,,,,,,,,,,N,AO01,,Y,,,,,,,,,,,,
90,24,7,,,,,,,,,,,,,N,AO04,,,,,Y,,,Y,74,,Y,,,,,
91,24,3,,,,,N,AO01,,,,,,,,,,,,,Y,Y,,,45,,Y,,,,,
92,24,3,,,,,Y,AO07,,,,,,,,,,,,,Y,Y,,,56,,,Y,,,,
93,24,2,,,Y,AO08,,,,,,,,,,,,,,,Y,,,Y,52,,Y,,,,,
94,24,8,,,,,,,,,,,,,,,N,AO04,,,Y,,,Y,44,,,,Y,,,
95,21,4,,,,,,,N,AO01,,,,,,,,,,Y,,,,,,,,,,,,
96,24,2,,,Y,AO07,,,,,,,,,,,,,,,Y,Y,,,74,,Y,,,,,
97,24,6,,,,,,,,,,,N,AO01,,,,,,,Y,Y,,,60,,Y,,,,,
98,21,1,Y,AO07,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,
99,24,4,,,,,,,N,AO03,,,,,,,,,,,Y,,,Y,54,,,Y,,,,
100,24,8,,,,,,,,,,,,,,,Y,AO05,,,Y,,,Y,65,,Y,,,,,
101,24,7,,,,,,,,,,,,,N,AO01,,,,,Y,,,Y,38,,,,Y,,,
102,24,5,,,,,,,,,Y,AO07,,,,,,,,,Y,Y,,,64,,Y,,,,,
103,24,8,,,,,,,,,,,,,,,Y,AO06,,,Y,Y,,,47,,,Y,,,,
104,24,1,N,AO03,,,,,,,,,,,,,,,,,Y,,,Y,48,,Y,,,,,
105,24,7,,,,,,,,,,,,,N,AO02,,,,,Y,,,Y,36,,,,Y,,,
106,21,2,,,Y,AO08,,,,,,,,,,,,,Y,,,,,,,,,,,,,
107,24,2,,,N,AO02,,,,,,,,,,,,,,,Y,Y,,,52,,,Y,,,,
108,24,7,,,,,,,,,,,,,N,AO04,,,,,Y,Y,,,73,,,,Y,,,
109,24,5,,,,,,,,,Y,AO05,,,,,,,,,Y,,,Y,71,,,Y,,,,
110,21,1,Y,AO05,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,
111,24,8,,,,,,,,,,,,,,,Y,AO06,,,Y,Y,,,60,,Y,,,,,
112,24,2,,,N,AO02,,,,,,,,,,,,,,,Y,,,Y,35,,,,Y,,,
113,24,3,,,,,N,AO01,,,,,,,,,,,,,Y,,,Y,36,,,Y,,,,
114,21,7,,,,,,,,,,,,,Y,AO07,,,Y,,,,,,,,,,,,,
115,21,1,N,AO02,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,
116,24,5,,,,,,,,,Y,AO03,,,,,,,,,Y,Y,,,70,,Y,,,,,
117,24,5,,,,,,,,,Y,AO05,,,,,,,,,Y,,,Y,70,,,Y,,,,
118,24,5,,,,,,,,,Y,AO07,,,,,,,,,Y,,,Y,47,,,Y,,,,
119,24,5,,,,,,,,,N,AO06,,,,,,,,,Y,,,Y,53,,,Y,,,,
120,24,3,,,,,Y,AO04,,,,,,,,,,,,,Y,,,Y,65,,Y,,,,,
121,24,2,,,N,AO04,,,,,,,,,,,,,,,Y,Y,,,63,,Y,,,,,
122,24,7,,,,,,,,,,,,,Y,AO04,,,,,Y,,,Y,63,,Y,,,,,
123,24,2,,,N,AO02,,,,,,,,,,,,,,,Y,,,Y,59,,,Y,,,,
124,24,7,,,,,,,,,,,,,N,AO02,,,,,Y,,,Y,46,,,,Y,,,
125,21,6,,,,,,,,,,,Y,AO05,,,,,,Y,,,,,,,,,,,,
126,24,8,,,,,,,,,,,,,,,Y,AO06,,,Y,Y,,,67,,Y,,,,,
127,24,5,,,,,,,,,Y,AO03,,,,,,,,,Y,Y,,,64,,,Y,,,,
128,24,3,,,,,N,AO05,,,,,,,,,,,,,Y,Y,,,63,,Y,,,,,
129,24,1,N,AO01,,,,,,,,,,,,,,,,,Y,Y,,,45,,Y,,,,,
130,24,2,,,N,AO02,,,,,,,,,,,,,,,Y,Y,,,65,,Y,,,,,
131,24,7,,,,,,,,,,,,,N,AO04,,,,,Y,,,Y,42,,,,Y,,,
132,24,5,,,,,,,,,Y,AO07,,,,,,,,,Y,,,Y,58,,,Y,,,,
133,24,5,,,,,,,,,Y,AO04,,,,,,,,,Y,Y,,,50,,,Y,,,,
134,24,8,,,,,,,,,,,,,,,Y,AO07,,,Y,,,Y,67,,,,Y,,,
135,24,5,,,,,,,,,Y,AO05,,,,,,,,,Y,,,Y,71,,Y,,,,,
136,24,3,,,,,Y,AO04,,,,,,,,,,,,,Y,Y,,,45,,,Y,,,,
137,21,1,N,AO01,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,
138,24,5,,,,,,,,,Y,AO07,,,,,,,,,Y,,,Y,58,,,,Y,,,
139,20,3,,,,,N,AO04,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,
140,20,7,,,,,,,,,,,,,N,AO04,,,Y,,Y,,,,,,,,,,,
141,24,4,,,,,,,N,AO01,,,,,,,,,,,Y,Y,,,58,,,,Y,,,
142,24,6,,,,,,,,,,,N,AO01,,,,,,,Y,Y,,,65,,,Y,,,,
143,24,7,,,,,,,,,,,,,N,AO01,,,,,Y,,,Y,43,,,,Y,,,
144,24,6,,,,,,,,,,,N,AO03,,,,,,,Y,,,Y,26,,,,Y,,,
145,24,4,,,,,,,N,AO02,,,,,,,,,,,Y,Y,,,65,,,,Y,,,
146,24,2,,,N,AO02,,,,,,,,,,,,,,,Y,,,Y,56,,,,Y,,,
147,24,4,,,,,,,N,AO01,,,,,,,,,,,Y,,,Y,66,,,,Y,,,
148,24,1,Y,AO06,,,,,,,,,,,,,,,,,Y,,,Y,50,,Y,,,,,
149,24,8,,,,,,,,,,,,,,,N,AO03,,,Y,,,Y,61,,,,Y,,,
150,21,3,,,,,N,AO04,,,,,,,,,,,Y,,,,,,,,,,,,,
151,24,1,N,AO01,,,,,,,,,,,,,,,,,Y,Y,,,62,,Y,,,,,
152,21,2,,,N,AO07,,,,,,,,,,,,,Y,,,,,,,,,,,,,
153,24,7,,,,,,,,,,,,,Y,AO06,,,,,Y,,,Y,47,,Y,,,,,
154,24,8,,,,,,,,,,,,,,,Y,AO06,,,Y,Y,,,65,,,Y,,,,
155,24,1,Y,AO07,,,,,,,,,,,,,,,,,Y,Y,,,68,,Y,,,,,
156,24,2,,,N,AO04,,,,,,,,,,,,,,,Y,Y,,,68,,Y,,,,,
157,24,7,,,,,,,,,,,,,Y,AO05,,,,,Y,Y,,,73,,Y,,,,,
158,24,2,,,N,AO06,,,,,,,,,,,,,,,Y,Y,,,52,,Y,,,,,
159,24,7,,,,,,,,,,,,,N,AO01,,,,,Y,,,Y,72,,,Y,,,,
160,24,7,,,,,,,,,,,,,Y,AO07,,,,,Y,Y,,,53,,Y,,,,,
161,24,8,,,,,,,,,,,,,,,N,AO04,,,Y,Y,,,59,,Y,,,,,
162,24,4,,,,,,,N,AO05,,,,,,,,,,,Y,,,Y,66,,Y,,,,,
163,24,4,,,,,,,Y,AO07,,,,,,,,,,,Y,,,Y,51,,Y,,,,,
164,24,5,,,,,,,,,Y,AO06,,,,,,,,,Y,Y,,,23,,,,,,,Y
165,24,3,,,,,N,AO05,,,,,,,,,,,,,Y,,,Y,42,,,Y,,,,
166,24,1,Y,AO07,,,,,,,,,,,,,,,,,Y,Y,,,69,,,,,,,Y
167,24,6,,,,,,,,,,,Y,AO05,,,,,,,Y,,,Y,72,,Y,,,,,
168,24,3,,,,,N,AO06,,,,,,,,,,,,,Y,Y,,,41,,Y,,,,,
169,24,3,,,,,N,AO01,,,,,,,,,,,,,Y,,,Y,52,,,Y,,,,
170,24,6,,,,,,,,,,,N,AO03,,,,,,,Y,Y,,,71,,Y,,,,,
171,24,3,,,,,Y,AO06,,,,,,,,,,,,,Y,Y,,,58,,Y,,,,,
172,24,5,,,,,,,,,Y,AO04,,,,,,,,,Y,Y,,,52,,Y,,,,,
173,24,4,,,,,,,Y,AO06,,,,,,,,,,,Y,,,Y,53,,Y,,,,,
174,24,2,,,N,AO05,,,,,,,,,,,,,,,Y,Y,,,61,,Y,,,,,
175,24,3,,,,,Y,AO07,,,,,,,,,,,,,Y,,,Y,58,,Y,,,,,
176,24,1,Y,AO07,,,,,,,,,,,,,,,,,Y,,,Y,52,,,,Y,,,
177,24,8,,,,,,,,,,,,,,,Y,AO06,,,Y,,,Y,42,,,,Y,,,
178,24,1,Y,AO05,,,,,,,,,,,,,,,,,Y,Y,,,47,,,Y,,,,
179,24,8,,,,,,,,,,,,,,,Y,AO03,,,Y,Y,,,45,,Y,,,,,
180,24,7,,,,,,,,,,,,,N,AO01,,,,,Y,,,Y,44,,,,Y,,,
181,24,4,,,,,,,Y,AO07,,,,,,,,,,,Y,Y,,,31,,,,Y,,,
182,24,1,N,AO01,,,,,,,,,,,,,,,,,Y,,,Y,58,,Y,,,,,
183,24,8,,,,,,,,,,,,,,,Y,AO04,,,Y,,,Y,63,,Y,,,,,
184,24,7,,,,,,,,,,,,,N,AO02,,,,,Y,,,Y,69,,,,Y,,,
185,21,8,,,,,,,,,,,,,,,N,AO04,,Y,,,,,,,,,,,,
186,24,8,,,,,,,,,,,,,,,N,AO03,,,Y,Y,,,57,,,Y,,,,
187,24,1,N,AO01,,,,,,,,,,,,,,,,,Y,,,Y,68,,,,Y,,,
188,24,4,,,,,,,N,AO01,,,,,,,,,,,Y,,,Y,53,,,,Y,,,
189,24,4,,,,,,,N,AO02,,,,,,,,,,,Y,Y,,,43,,,,Y,,,
190,24,6,,,,,,,,,,,Y,AO04,,,,,,,Y,Y,,,31,,,Y,,,,
191,24,2,,,Y,AO08,,,,,,,,,,,,,,,Y,,,Y,59,,Y,,,,,
192,24,6,,,,,,,,,,,N,AO01,,,,,,,Y,,Y,,46,,Y,,,,,
193,24,1,N,AO03,,,,,,,,,,,,,,,,,Y,Y,,,53,,,Y,,,,
194,24,7,,,,,,,,,,,,,Y,AO02,,,,,Y,Y,,,68,,Y,,,,,
195,24,6,,,,,,,,,,,Y,AO05,,,,,,,Y,,,Y,26,,,,,,,Y
196,24,2,,,N,AO02,,,,,,,,,,,,,,,Y,Y,,,51,,,,Y,,,
197,24,7,,,,,,,,,,,,,Y,AO01,,,,,Y,,,Y,61,,Y,,,,,
198,24,6,,,,,,,,,,,N,AO01,,,,,,,Y,Y,,,54,,,Y,,,,
199,20,3,,,,,N,AO01,,,,,,,,,,,,,,,,,,,,,,,,
200,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,24,7,,,,,,,,,,,,,N,AO02,,,,,Y,Y,,,35,,,,Y,,,
202,24,3,,,,,Y,AO04,,,,,,,,,,,,,Y,,,Y,59,,Y,,,,,
203,24,7,,,,,,,,,,,,,Y,AO04,,,,,Y,,,Y,41,,,,Y,,,
204,21,6,,,,,,,,,,,Y,AO05,,,,,,Y,,,,,,,,,,,,
205,24,8,,,,,,,,,,,,,,,Y,AO04,,,Y,,,Y,56,,,,Y,,,
206,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,24,8,,,,,,,,,,,,,,,Y,AO07,,,Y,Y,,,60,,Y,,,,,
208,24,7,,,,,,,,,,,,,N,AO01,,,,,Y,Y,,,25,,,,Y,,,
209,24,1,Y,AO07,,,,,,,,,,,,,,,,,Y,Y,,,58,,,Y,,,,
210,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,24,4,,,,,,,Y,AO07,,,,,,,,,,,Y,Y,,,32,,Y,,,,,
212,24,2,,,N,AO04,,,,,,,,,,,,,,,Y,,,Y,66,,,,Y,,,
213,24,2,,,Y,AO08,,,,,,,,,,,,,,,Y,Y,,,44,,,Y,,,,
214,24,5,,,,,,,,,Y,AO06,,,,,,,,,Y,,,Y,46,,Y,,,,,
215,24,6,,,,,,,,,,,Y,AO04,,,,,,,Y,,,Y,36,,Y,,,,,
216,24,3,,,,,Y,AO05,,,,,,,,,,,,,Y,,,Y,71,,Y,,,,,
217,24,8,,,,,,,,,,,,,,,Y,AO05,,,Y,,,Y,66,,Y,,,,,
218,24,2,,,N,AO05,,,,,,,,,,,,,,,Y,Y,,,55,,Y,,,,,
219,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,24,3,,,,,N,AO01,,,,,,,,,,,,,Y,,,Y,39,,,,Y,,,
221,24,4,,,,,,,Y,AO07,,,,,,,,,,,Y,Y,,,61,,Y,,,,,
222,24,6,,,,,,,,,,,N,AO02,,,,,,,Y,Y,,,30,,,,Y,,,
223,24,4,,,,,,,N,AO01,,,,,,,,,,,Y,,,Y,56,,,Y,,,,
224,24,3,,,,,N,AO02,,,,,,,,,,,,,Y,,,Y,35,,,,Y,,,
