id,lastpage,randnumber,benani1,benani2sq001,benani3,bebuni1,bebuni2sq001,bebuni3,beinni1,beinni2sq001,beinni3,benage1,benage2sq001,benage3,bebuge1,bebuge2sq001,bebuge3,beinge1,beinge2sq001,beinge3,frenani1,frenani2sq001,frenani3,frebuni1,frebuni2sq001,frebuni3,freinni1,freinni2sq001,freinni3,frenage1,frenage2sq001,frenage3,frebuge1,frebuge2sq001,frebuge3,freinge1,freinge2sq001,freinge3,ctrl,age,gen1,gen2,gen3,gen4,edu1,edu2,edu3,edu4,edu5,edu6,edu7,edu8,edu10,org1,org2,org3,org4
40,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,N,,,,,,,,,,3,36,Y,,,,,,,,,,,,Y,,,Y,
41,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,45,1,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,71,Y,,,,,,,Y,,,,,,,,Y,
43,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO04,Y,,,,,,,,,,3,66,,,Y,,,Y,,,,,,,,Y,,,
44,45,7,,,,,,,,,,,,,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,3,50,,,Y,,,,,,,,,,Y,,,Y,
45,45,8,,,,,,,,,,,,,,,,,,,,,,N,AO06,Y,,,,,,,,,,,,,3,40,,,Y,,,,Y,,,,,,,Y,,,
46,45,7,,,,,,,,,,,,,,,,,,,N,AO01,N,,,,,,,,,,,,,,,,3,36,,,Y,,,,,,,,,,Y,,,Y,
47,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO04,Y,,,,,,,3,64,Y,,,,,Y,,,,,,,,,Y,,
48,45,8,,,,,,,,,,,,,,,,,,,,,,N,AO01,Y,,,,,,,,,,,,,3,44,,,Y,,,,,Y,,,,,,,,Y,
49,45,8,,,,,,,,,,,,,,,,,,,,,,Y,AO06,Y,,,,,,,,,,,,,3,62,,,Y,,,,Y,,,,,,,Y,,,
50,45,7,,,,,,,,,,,,,,,,,,,N,AO07,N,,,,,,,,,,,,,,,,3,54,,,Y,,,,,,,,,,Y,,Y,,
51,45,1,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,68,,,Y,,,,,,,,,,Y,Y,,,
52,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO06,Y,,,,,,,,,,3,69,,,Y,,,,,Y,,,,,,,,Y,
53,45,2,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,54,Y,,,,,,,Y,,,,,,Y,,,
54,45,5,,,,,,,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,3,52,,,Y,,,Y,,,,,,,,,,Y,
55,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO01,Y,,,,3,65,,,Y,,,,Y,Y,,,,,,,,Y,
56,45,6,,,,,,,,,,,,,,,,Y,AO05,N,,,,,,,,,,,,,,,,,,,3,66,Y,,,,,,Y,,,,,,Y,,,,Y
57,45,1,Y,AO02,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,37,Y,,,,,,,Y,,,,,,,,Y,
58,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO01,Y,,,,,,,3,71,,,Y,,,,,,,,,,Y,,,Y,
59,45,3,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,47,Y,,,,,,Y,,,,,,,,,Y,
60,45,3,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,74,,,Y,,,,,Y,,,,,,,,Y,
61,45,4,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,38,,,Y,,,Y,,,,,,,Y,Y,,,
62,45,6,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,3,50,,,Y,,,,,,,,,,Y,,,Y,
63,45,4,,,,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,66,Y,,,,,Y,,,,,,,,Y,,,
