id,lastpage,randnumber,benani1,benani2sq001,benani3,bebuni1,bebuni2sq001,bebuni3,beinni1,beinni2sq001,beinni3,benage1,benage2sq001,benage3,bebuge1,bebuge2sq001,bebuge3,beinge1,beinge2sq001,beinge3,frenani1,frenani2sq001,frenani3,frebuni1,frebuni2sq001,frebuni3,freinni1,freinni2sq001,freinni3,frenage1,frenage2sq001,frenage3,frebuge1,frebuge2sq001,frebuge3,freinge1,freinge2sq001,freinge3,ctrl,age,gen1,gen2,gen3,gen4,edu1,edu2,edu3,edu4,edu5,edu6,edu7,edu8,edu10,org1,org2,org3,org4
152,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,45,6,,,,,,,,,,,,,,,,Y,AO05,N,,,,,,,,,,,,,,,,,,,3,41,Y,,,,,Y,,,,,,,Y,,,Y,
154,45,7,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,3,51,Y,,,,,,,,Y,,,,,Y,,,
155,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,45,1,N,AO04,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,70,Y,,,,,,,,Y,,,,Y,,,Y,
157,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO05,N,,,,,,,3,65,,,Y,,,Y,,,,,,,,,,Y,
158,45,5,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,3,41,Y,,,,,Y,,,,,,,Y,Y,,,
159,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO01,Y,,,,3,29,Y,,,,,,,,,,,,Y,,,Y,
160,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO06,N,,,,,,,3,70,,,Y,,,Y,,,,,,,,,,Y,
161,45,1,Y,AO04,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,Y,,,,,,,Y,,,,,,Y,,,
162,45,5,,,,,,,,,,,,,N,AO01,Y,,,,,,,,,,,,,,,,,,,,,,3,58,,,Y,,,,Y,,,,,,,,,,Y
163,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO01,Y,,,,,,,,,,3,57,,,Y,,,Y,,,,,,,,,,Y,
164,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO01,N,,,,3,59,Y,,,,,Y,,,,,,,,,,Y,
165,45,1,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,61,,,Y,,,Y,,,,,,,,Y,,,
166,45,7,,,,,,,,,,,,,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,3,66,Y,,,,,,,Y,,,,,,,,Y,
167,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO06,Y,,,,3,57,,,Y,,,,,Y,,,,,,Y,,,
168,18,5,,,,,,,,,,,,,N,AO03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,45,1,Y,AO02,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,54,Y,,,,,Y,,,,,,,,Y,,,
170,45,2,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,52,,,Y,,,,Y,,,,,,,,,Y,
171,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO06,N,,,,3,20,,,Y,,,,Y,,,,,,,Y,,,
172,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,3,57,,,Y,,,,,Y,,,,,,,,Y,
173,45,3,,,,,,,N,AO01,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,70,,,Y,,,,,Y,,,,,,,,Y,
174,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,3,19,Y,,,,,Y,,,,,,,,,,Y,
175,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO03,N,,,,,,,3,58,Y,,,,,Y,,,,,,,Y,,,Y,
176,45,5,,,,,,,,,,,,,Y,AO03,N,,,,,,,,,,,,,,,,,,,,,,3,44,,,Y,,,,,Y,,,,,,,,Y,
177,45,7,,,,,,,,,,,,,,,,,,,N,AO03,Y,,,,,,,,,,,,,,,,3,68,Y,,,,,,Y,,,,,,,,,Y,
178,45,6,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,3,58,Y,,,,,Y,,,,,,,,,,Y,
179,45,1,N,AO04,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,Y,,,,,,Y,,,,,,,,,Y,
180,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO03,N,3,70,Y,,,,,,,Y,,,,,,Y,,,
181,45,3,,,,,,,Y,AO03,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,38,,,Y,,,Y,,,,,,,Y,,,Y,
182,45,6,,,,,,,,,,,,,,,,N,AO03,N,,,,,,,,,,,,,,,,,,,3,40,,,Y,,,Y,,,,,,,Y,,,Y,
183,45,9,,,,,,,,,,,,,,,,,,,,,,,,,N,AO04,Y,,,,,,,,,,3,8,Y,,,,,,,Y,,,,,,,,Y,
184,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO02,Y,,,,,,,1,,,,,,,,,,,,,,,,,,
185,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,45,7,,,,,,,,,,,,,,,,,,,N,AO04,N,,,,,,,,,,,,,,,,3,58,,,Y,,,,Y,Y,,,,,,Y,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,45,8,,,,,,,,,,,,,,,,,,,,,,N,AO07,N,,,,,,,,,,,,,3,29,,,Y,,,Y,,,,,,,,,,Y,
189,41,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO05,Y,1,,,,,,,,,,,,,,,,,,
190,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,3,59,,,Y,,,,,,,,,,Y,,,Y,
191,45,6,,,,,,,,,,,,,,,,N,AO05,N,,,,,,,,,,,,,,,,,,,3,67,Y,,,,,,,,,,,,Y,,,Y,
192,45,6,,,,,,,,,,,,,,,,N,AO05,Y,,,,,,,,,,,,,,,,,,,3,28,,,Y,,,,,Y,,,,,,Y,,,
193,45,4,,,,,,,,,,Y,AO03,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,40,,,Y,,,Y,,,,,,,Y,,,Y,
194,45,5,,,,,,,,,,,,,Y,AO03,Y,,,,,,,,,,,,,,,,,,,,,,3,42,,,Y,,,Y,,,,,,,,Y,,,
195,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO01,Y,,,,,,,,,,3,60,,,Y,,,,,Y,,,,,,,,Y,
196,45,5,,,,,,,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,3,57,,,Y,,,,,Y,,,,,,Y,,,
197,45,5,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,3,72,,,Y,,,,,Y,,,,,,Y,,,
198,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO03,Y,,,,3,61,,,Y,,,,,,,,,,Y,Y,,,
199,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,3,40,Y,,,,,,,Y,,,,,,Y,,,
200,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,45,3,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,68,Y,,,,,,Y,,,,,,,Y,,,
202,45,7,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,3,20,Y,,,,,,,Y,,,,,,,,Y,
203,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,3,41,Y,,,,,,,Y,,,,,,Y,,,
204,45,5,,,,,,,,,,,,,N,AO01,Y,,,,,,,,,,,,,,,,,,,,,,3,55,Y,,,,,,,Y,,,,,,Y,,,
205,45,4,,,,,,,,,,Y,AO05,N,,,,,,,,,,,,,,,,,,,,,,,,,3,35,Y,,,,,Y,,,,,,,,,,Y,
206,45,1,Y,AO05,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,37,Y,,,,,Y,,,,,,,,,,Y,
207,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO01,Y,,,,3,34,,,Y,,,,,Y,,,,,,,,Y,
208,45,2,,,,N,AO07,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,70,Y,,,,,Y,,,,,,,,,,Y,
209,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO01,Y,3,55,Y,,,,,Y,,,,,,,,,,Y,
210,45,6,,,,,,,,,,,,,,,,N,AO07,N,,,,,,,,,,,,,,,,,,,3,60,Y,,,,,Y,,,,,,,,Y,,,
211,45,2,,,,N,AO03,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,62,Y,,,,,Y,,,,,,,,,,Y,
212,45,6,,,,,,,,,,,,,,,,N,AO07,Y,,,,,,,,,,,,,,,,,,,3,72,,,Y,,,,Y,,,,,,Y,Y,,,
213,45,4,,,,,,,,,,Y,AO05,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,71,Y,,,,,,,,,,,,Y,,,Y,
214,45,7,,,,,,,,,,,,,,,,,,,N,AO04,Y,,,,,,,,,,,,,,,,3,53,Y,,,,,Y,,,,,,,,,,Y,
215,45,3,,,,,,,N,AO03,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,67,,,Y,,,,Y,,,,,,,Y,,,
216,45,2,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,45,Y,,,,,Y,,,,,,,,Y,,,
217,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO04,Y,,,,,,,3,65,Y,,,,,Y,,,,,,,Y,Y,,,
218,45,4,,,,,,,,,,N,AO05,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,38,,,Y,,,,Y,Y,,,,,Y,,,Y,
219,45,7,,,,,,,,,,,,,,,,,,,Y,AO01,Y,,,,,,,,,,,,,,,,3,66,Y,,,,,Y,,,,,,,,,,Y,
220,45,2,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,47,,,Y,,,,Y,,,,,,,,,Y,
221,45,2,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,55,,,Y,,,Y,,,,,,,,,,,Y
222,45,9,,,,,,,,,,,,,,,,,,,,,,,,,N,AO06,N,,,,,,,,,,3,67,,,Y,,,Y,,,,,,,,,,Y,
223,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,45,3,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,42,,,Y,,,,Y,Y,,,,,,Y,,,
226,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO06,N,,,,,,,3,71,,,Y,,,Y,,,,,,,Y,,,Y,
227,45,3,,,,,,,Y,AO07,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,,,Y,,,,,Y,,,,,,,,Y,
228,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,3,55,,,Y,,,Y,,,,,,,,Y,,,
229,45,6,,,,,,,,,,,,,,,,N,AO04,N,,,,,,,,,,,,,,,,,,,3,45,Y,,,,,Y,,,,,,,,,,Y,
230,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,45,4,,,,,,,,,,Y,AO01,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,53,Y,,,,,,,,,,,,Y,,,Y,
232,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO04,N,3,64,,,Y,,,,,,,,,,Y,,,Y,
233,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO04,N,,,,,,,1,,,,,,,,,,,,,,,,,,
234,45,5,,,,,,,,,,,,,Y,AO07,N,,,,,,,,,,,,,,,,,,,,,,3,41,Y,,,,,,,Y,,,,,,Y,,,
235,45,1,Y,AO04,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,56,Y,,,,,,,,,,,,Y,,,Y,
236,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO01,N,,,,3,59,Y,,,,,,Y,,,,,,,,,Y,
237,41,4,,,,,,,,,,N,AO02,N,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
238,45,1,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,61,Y,,,,Y,,,,,,,,,,,Y,
239,45,5,,,,,,,,,,,,,Y,AO04,Y,,,,,,,,,,,,,,,,,,,,,,3,67,Y,,,,,Y,,,,,,,Y,,,Y,
240,45,5,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,3,59,Y,,,,,Y,,,,,,,,,,Y,
241,45,9,,,,,,,,,,,,,,,,,,,,,,,,,N,AO04,N,,,,,,,,,,3,57,Y,,,,,,,,,,Y,,,,,Y,
242,45,1,N,AO02,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,59,,,Y,,,Y,,,,,,,,,,Y,
243,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO04,N,3,58,,,Y,,,Y,,,,,,,,,,Y,
244,45,4,,,,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,73,,,Y,,,Y,,,,,,,,,,Y,
245,45,8,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,3,46,,,Y,,,Y,,,,,,,,Y,,,
246,45,3,,,,,,,N,AO07,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,63,,,Y,,,Y,,,,,,,,Y,,,
247,45,5,,,,,,,,,,,,,N,AO07,N,,,,,,,,,,,,,,,,,,,,,,3,64,,,Y,,,Y,,,,,,,,,,Y,
248,45,8,,,,,,,,,,,,,,,,,,,,,,N,AO01,N,,,,,,,,,,,,,3,69,Y,,,,,,,,,,,,Y,,Y,,
249,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO06,Y,3,36,Y,,,,,,Y,,,,Y,,,,,Y,
250,41,6,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
251,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO03,Y,,,,,,,3,43,Y,,,,,,,Y,,,,,Y,,Y,,
252,45,1,N,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,62,Y,,,,,Y,,,,,,,,Y,,,
253,45,7,,,,,,,,,,,,,,,,,,,N,AO04,Y,,,,,,,,,,,,,,,,3,50,,,Y,,,Y,,,,,,,,,,Y,
254,45,7,,,,,,,,,,,,,,,,,,,N,AO04,Y,,,,,,,,,,,,,,,,3,60,Y,,,,,,Y,,,,,,Y,Y,,,
255,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO07,Y,,,,,,,3,72,,,Y,,,,,Y,,,,,,,,Y,
256,45,5,,,,,,,,,,,,,Y,AO04,Y,,,,,,,,,,,,,,,,,,,,,,3,70,,,Y,,,,,Y,,,,,,Y,,,
257,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO01,Y,,,,,,,,,,3,59,Y,,,,,,Y,,,,,,,,,Y,
258,45,6,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,3,25,Y,,,,,,Y,,,,,,,,,Y,
259,45,7,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,3,72,,,Y,,,Y,,,,,,,,Y,,,
260,45,7,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,3,68,,,Y,,,Y,,,,,,,,Y,,,
261,45,1,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,65,Y,,,,,,Y,,,,,,,Y,,,
262,45,4,,,,,,,,,,N,AO04,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,58,,,Y,,,,Y,,,,,,,Y,,,
263,45,8,,,,,,,,,,,,,,,,,,,,,,N,AO02,N,,,,,,,,,,,,,3,62,Y,,,,,Y,,,,,,,,Y,,,
264,45,7,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,3,38,,,Y,,,,,Y,,,,,,,,Y,
265,45,4,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,31,,,Y,,,,,Y,,,,,,,,Y,
266,45,7,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,3,36,Y,,,,,,,,,,,,Y,Y,,,
267,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO02,Y,,,,,,,,,,3,25,Y,,,,,,,Y,,,,,,,,Y,
268,45,1,N,AO05,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,58,,,Y,,,,,,,,,,Y,,,Y,
269,45,1,N,AO04,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,67,Y,,,,,Y,,,,,,,,,Y,,
270,45,3,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,Y,,,,,,,Y,,,,,,,,Y,
271,45,1,Y,AO04,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31,Y,,,,,,,Y,,,,,,,,Y,
272,45,4,,,,,,,,,,N,AO04,N,,,,,,,,,,,,,,,,,,,,,,,,,3,65,Y,,,,,,Y,,,,,,,Y,,,
273,45,7,,,,,,,,,,,,,,,,,,,N,AO01,N,,,,,,,,,,,,,,,,3,44,,,,Y,,,,,Y,,,,,,,,Y
274,45,4,,,,,,,,,,N,AO01,N,,,,,,,,,,,,,,,,,,,,,,,,,3,49,,,Y,,,,,Y,,,,,,,,Y,
275,45,3,,,,,,,N,AO07,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,60,,,Y,,,Y,,,,,,,,Y,,,
276,45,3,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,64,Y,,,,,Y,,,,,,,,,,Y,
277,45,4,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,39,,,Y,,,,,Y,,,,,,,Y,,
278,45,7,,,,,,,,,,,,,,,,,,,N,AO01,Y,,,,,,,,,,,,,,,,3,65,Y,,,,,,,Y,,,,,,,,Y,
279,45,2,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21,Y,,,,Y,,,Y,,,,,,,,Y,
280,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO05,N,,,,3,43,Y,,,,,,Y,,,,,,,Y,,,
281,45,5,,,,,,,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,3,47,,,Y,,,,,Y,,,,,,,,Y,
282,45,3,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,65,,,Y,,,Y,,,,,,,,,,Y,
283,45,9,,,,,,,,,,,,,,,,,,,,,,,,,N,AO04,Y,,,,,,,,,,3,59,,,Y,,,,,,,,,,Y,Y,,,
284,45,1,Y,AO03,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,Y,,,,,Y,,,,,,,Y,,,Y,
285,45,3,,,,,,,Y,AO03,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,41,Y,,,,,,,,,Y,,,,,Y,,
286,45,5,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,3,65,Y,,,,,Y,,,,,,,Y,Y,,,
287,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO07,Y,,,,3,36,,,Y,,,Y,,,,,,,,,,Y,
288,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO07,N,,,,,,,3,73,,,Y,,,,,Y,,,,,,,,Y,
289,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO05,Y,,,,,,,,,,3,58,,,Y,,,Y,,,,,,,,Y,,,
290,41,3,,,,,,,N,AO05,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
291,41,7,,,,,,,,,,,,,,,,,,,N,AO04,Y,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
292,45,7,,,,,,,,,,,,,,,,,,,N,AO05,Y,,,,,,,,,,,,,,,,3,42,Y,,,,,,,Y,,,,,,Y,,,
293,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,3,33,,,Y,,,,Y,,,,,,,Y,,,
294,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,1,,,,,,,,,,,,,,,,,,
295,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO01,Y,3,67,,,Y,,,Y,,,,,,,Y,Y,,,
296,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO06,Y,,,,,,,3,68,,,Y,,,Y,,,,,,,,,,Y,
297,45,5,,,,,,,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,3,61,,,Y,,,,,,,,,,Y,,,Y,
298,45,6,,,,,,,,,,,,,,,,Y,AO01,Y,,,,,,,,,,,,,,,,,,,3,53,,,Y,,,Y,,,,,,,,Y,,,
299,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,3,33,,,Y,,,Y,,,,,,,,,Y,,
300,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,N,,,,,,,,,,3,38,Y,,,,,,,Y,,,,,,,,Y,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,45,9,,,,,,,,,,,,,,,,,,,,,,,,,N,AO03,N,,,,,,,,,,3,65,Y,,,,,,,,,,,,Y,Y,,,
304,45,6,,,,,,,,,,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,3,65,Y,,,,,,,,,,,,Y,,,Y,
305,45,7,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,3,20,Y,,,,,,,,,,,Y,,Y,,,
306,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,3,39,,,Y,,,,,,,,,,Y,,,Y,
307,45,4,,,,,,,,,,N,AO07,N,,,,,,,,,,,,,,,,,,,,,,,,,3,36,Y,,,,,,Y,,,,,,,Y,,,
308,45,6,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,3,61,,,Y,,,,,Y,,,,,,,,Y,
309,45,1,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,58,Y,,,,,Y,,,,,,,,Y,,,
310,45,6,,,,,,,,,,,,,,,,Y,AO05,Y,,,,,,,,,,,,,,,,,,,3,42,Y,,,,,,,,,,,,Y,Y,,,
311,41,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO03,N,5,,,,,,,,,,,,,,,,,,
312,45,8,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,3,51,Y,,,,,Y,,,,,,,,,,Y,
313,45,1,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,71,Y,,,,,Y,,,,,,,,,,Y,
314,45,2,,,,N,AO07,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,41,,,Y,,,,,Y,,,,,,,,Y,
315,45,7,,,,,,,,,,,,,,,,,,,Y,AO06,N,,,,,,,,,,,,,,,,3,30,Y,,,,,Y,,,,,,,,,,Y,
316,45,1,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,Y,,,,,,Y,,,,,,,Y,,,
317,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO05,N,,,,,,,3,54,,,Y,,,,Y,,,,,,,,,Y,
318,38,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,
319,45,6,,,,,,,,,,,,,,,,N,AO05,N,,,,,,,,,,,,,,,,,,,3,33,,Y,,,,,,Y,,,,,,Y,,,
320,45,5,,,,,,,,,,,,,Y,AO07,N,,,,,,,,,,,,,,,,,,,,,,3,51,,,Y,,,,Y,,,,,,,Y,,,
321,41,7,,,,,,,,,,,,,,,,,,,Y,AO01,Y,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
322,45,1,N,AO06,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,37,Y,,,,,Y,,,,,,,Y,,,Y,
323,45,2,,,,N,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,,,Y,,,,,Y,,,,,,,,Y,
324,45,8,,,,,,,,,,,,,,,,,,,,,,N,AO07,Y,,,,,,,,,,,,,3,43,,,Y,,,,Y,,,,,,,,,Y,
325,45,8,,,,,,,,,,,,,,,,,,,,,,Y,AO04,N,,,,,,,,,,,,,3,58,Y,,,,,Y,,,,,,,,,,Y,
326,45,7,,,,,,,,,,,,,,,,,,,Y,AO05,Y,,,,,,,,,,,,,,,,3,70,,,Y,,,,,Y,,,,,,,,Y,
327,45,7,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,3,18,,,Y,,,Y,,,,,,,,,,,Y
328,45,5,,,,,,,,,,,,,N,AO03,N,,,,,,,,,,,,,,,,,,,,,,3,43,Y,,,,,,Y,,,,,,,Y,,,
329,45,5,,,,,,,,,,,,,N,AO03,Y,,,,,,,,,,,,,,,,,,,,,,3,65,Y,,,,,,Y,Y,,,,,,,,Y,
330,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO03,Y,,,,,,,3,51,,,Y,,,,Y,,,,,,,Y,,,
331,45,3,,,,,,,N,AO03,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21,Y,,,,,,Y,,,,,,,Y,,,
332,45,4,,,,,,,,,,N,AO01,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,60,Y,,,,,Y,,,,,,,,,,Y,
333,45,4,,,,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,59,Y,,,,,,,,,,Y,,,Y,,,
334,8,2,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,45,6,,,,,,,,,,,,,,,,Y,AO02,Y,,,,,,,,,,,,,,,,,,,3,66,Y,,,,,Y,,,,,,,,Y,,,
