id,lastpage,randnumber,friedlichgerecht,friedlichgewalt,blockieren1gerecht,blockieren1gewalt,blockieren2gerecht,blockieren2gewalt,gewalt1gerecht,gewalt1gewalt,gewalt2gerecht,gewalt2gewalt,kontrollfrage,alter,geschlecht,bildung,partei,parteiother,politischeaktiv1,politischeaktiv2,politischeaktiv3,politischeaktiv4,politischeaktiv5,politischeaktiv6,polizei1,umweltschutz1
311,22,5,,,,,,,,,Y,Y,2,71,1,5,2,,Y,,,,,,5,4
312,22,1,N,N,,,,,,,,,2,35,2,6,8,,Y,,,,,,4,4
313,22,5,,,,,,,,,Y,Y,2,45,1,8,1,,Y,,,,,,3,4
314,22,2,,,Y,Y,,,,,,,2,34,1,4,2,,Y,,,,,,4,2
315,22,4,,,,,,,Y,Y,,,2,70,2,6,-oth-,Tierschutz,Y,Y,,,,,4,5
316,2,,,,,,,,,,,,,,,,,,,,,,,,,
317,15,4,,,,,,,Y,N,,,2,,,,,,,,,,,,,
318,15,5,,,,,,,,,Y,N,2,,,,,,,,,,,,,
319,15,5,,,,,,,,,Y,N,1,,,,,,,,,,,,,
320,15,4,,,,,,,N,Y,,,2,,,,,,,,,,,,,
321,15,1,Y,N,,,,,,,,,2,,,,,,,,,,,,,
322,15,4,,,,,,,Y,Y,,,2,,,,,,,,,,,,,
323,15,5,,,,,,,,,Y,Y,2,,,,,,,,,,,,,
324,-1,,,,,,,,,,,,,,,,,,,,,,,,,
325,15,1,N,N,,,,,,,,,2,,,,,,,,,,,,,
326,15,5,,,,,,,,,N,Y,2,,,,,,,,,,,,,
327,15,4,,,,,,,Y,Y,,,2,,,,,,,,,,,,,
328,15,3,,,,,Y,N,,,,,1,,,,,,,,,,,,,
329,15,1,Y,N,,,,,,,,,2,,,,,,,,,,,,,
330,15,2,,,N,N,,,,,,,2,,,,,,,,,,,,,
331,15,4,,,,,,,N,N,,,2,,,,,,,,,,,,,
332,15,5,,,,,,,,,N,Y,2,,,,,,,,,,,,,
333,15,3,,,,,N,N,,,,,2,,,,,,,,,,,,,
334,15,3,,,,,N,Y,,,,,2,,,,,,,,,,,,,
335,15,3,,,,,Y,N,,,,,3,,,,,,,,,,,,,
336,15,4,,,,,,,N,Y,,,2,,,,,,,,,,,,,
337,-1,,,,,,,,,,,,,,,,,,,,,,,,,
338,15,3,,,,,Y,Y,,,,,2,,,,,,,,,,,,,
339,15,5,,,,,,,,,N,Y,2,,,,,,,,,,,,,
340,15,3,,,,,N,Y,,,,,2,,,,,,,,,,,,,
341,15,2,,,Y,Y,,,,,,,2,,,,,,,,,,,,,
342,15,4,,,,,,,Y,N,,,1,,,,,,,,,,,,,
343,15,2,,,Y,N,,,,,,,2,,,,,,,,,,,,,
344,-1,,,,,,,,,,,,,,,,,,,,,,,,,
345,15,5,,,,,,,,,Y,N,2,,,,,,,,,,,,,
346,15,4,,,,,,,N,N,,,2,,,,,,,,,,,,,
347,15,5,,,,,,,,,Y,N,2,,,,,,,,,,,,,
348,15,4,,,,,,,Y,N,,,2,,,,,,,,,,,,,
349,15,3,,,,,N,N,,,,,1,,,,,,,,,,,,,
350,-1,,,,,,,,,,,,,,,,,,,,,,,,,
351,15,2,,,Y,Y,,,,,,,2,,,,,,,,,,,,,
